customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment
00001750-0,525,1,49.0,1,1,1,3,Lost
00005168-6,202,2,138.04000000000002,3,2,3,8,Potential Loyalist
00006F38-4,208,5,371.09,3,4,4,11,Champions
0000F362-9,28,2,188.12,4,2,3,9,Loyal
000156A3-A,414,3,258.74,2,3,4,9,Loyal
000169FA-E,638,1,36.75,1,1,1,3,Lost
0001D9CF-1,93,4,285.76,3,4,4,11,Champions
0001EFF8-1,696,1,49.0,1,1,1,3,Lost
00020981-1,146,1,105.04,3,1,2,6,At Risk
00024C0F-D,514,1,49.0,1,1,1,3,Lost
00027C2D-2,687,1,70.02,1,1,2,4,Lost
00027EA3-2,504,1,49.0,1,1,1,3,Lost
00029D29-4,17,3,139.26999999999998,4,3,3,10,Loyal
0002BDE5-C,59,13,832.31,4,4,4,12,Champions
0002C6B0-C,166,1,41.65,3,1,1,5,At Risk
0002DC40-8,179,4,191.92,3,4,3,10,Loyal
00030666-6,93,3,144.29,3,3,3,9,Loyal
000309E8-8,313,2,107.44,2,2,2,6,At Risk
00036C5A-6,110,2,105.83,3,2,2,7,Potential Loyalist
0003858B-A,71,5,360.45,4,4,4,12,Champions
0003A2DF-8,23,5,280.21,4,4,4,12,Champions
0003BDB0-7,563,2,117.9,1,2,2,5,At Risk
0003D09B-5,38,6,600.73,4,4,4,12,Champions
0003ED63-A,490,1,49.0,1,1,1,3,Lost
000403BD-8,442,1,72.92,1,1,2,4,Lost
0004C03F-F,154,4,262.21000000000004,3,4,4,11,Champions
00050534-7,232,3,279.68,2,3,4,9,Loyal
000534EF-2,359,2,90.65,2,2,2,6,At Risk
00057B85-9,520,1,44.1,1,1,1,3,Lost
00058745-4,20,3,183.87,4,3,3,10,Loyal
0005B511-8,331,2,85.75,2,2,2,6,At Risk
0005F827-F,9,2,83.3,4,2,2,8,Potential Loyalist
00066C21-3,404,3,316.15,2,3,4,9,Loyal
0006B11A-9,326,1,76.63,2,1,2,5,At Risk
0007B657-6,129,2,131.32,3,2,3,8,Potential Loyalist
0007C3AC-5,497,1,177.84,1,1,3,5,At Risk
0007E61E-F,172,4,181.54000000000002,3,4,3,10,Loyal
000805AC-1,566,1,78.24,1,1,2,4,Lost
00080B84-0,257,1,55.16,2,1,2,5,At Risk
00089B32-D,266,1,64.86,2,1,2,5,At Risk
0008F558-3,563,3,155.69,1,3,3,7,Potential Loyalist
00091832-6,172,2,90.65,3,2,2,7,Potential Loyalist
000959F6-3,90,1,69.44,4,1,2,7,Potential Loyalist
00099B2D-A,411,1,156.16,2,1,3,6,At Risk
0009ABFF-4,374,4,302.7,2,4,4,10,Loyal
000A3112-3,7,9,819.21,4,4,4,12,Champions
000A5BB8-B,420,1,54.01,1,1,2,4,Lost
000A85E3-3,118,5,424.29,3,4,4,11,Champions
000A9A16-9,487,1,41.65,1,1,1,3,Lost
000ADE98-6,57,1,84.2,4,1,2,7,Potential Loyalist
000B05E1-2,494,2,303.69,1,2,4,7,Potential Loyalist
000B15D6-D,363,2,95.55,2,2,2,6,At Risk
000B5909-9,545,1,184.9,1,1,3,5,At Risk
000B6374-1,66,3,242.55,4,3,4,11,Champions
000B8D15-7,23,2,99.03999999999999,4,2,2,8,Potential Loyalist
000C02C9-2,504,1,41.65,1,1,1,3,Lost
000C2E43-F,144,3,144.22,3,3,3,9,Loyal
000C6C98-4,704,1,75.11,1,1,2,4,Lost
000CD21A-6,285,1,49.0,2,1,1,4,Lost
000CED24-2,282,1,213.51,2,1,3,6,At Risk
000D725B-B,619,1,76.71,1,1,2,4,Lost
000DA266-A,239,8,508.96,2,4,4,10,Loyal
000DAE62-5,140,4,161.7,3,4,3,10,Loyal
000E74C2-3,57,3,162.39000000000001,4,3,3,10,Loyal
000E754B-A,59,2,169.65,4,2,3,9,Loyal
000E888E-F,147,1,77.27,3,1,2,6,At Risk
000EFC0D-4,542,2,95.55,1,2,2,5,At Risk
000F2730-3,337,2,99.97999999999999,2,2,2,6,At Risk
000F626B-0,613,1,44.1,1,1,1,3,Lost
000F94B2-A,548,1,49.0,1,1,1,3,Lost
0010328C-3,48,1,49.0,4,1,1,6,At Risk
001052DB-9,80,2,165.39999999999998,4,2,3,9,Loyal
00105348-3,70,2,120.27,4,2,2,8,Potential Loyalist
00109435-6,145,3,169.59,3,3,3,9,Loyal
00110C99-F,621,2,298.03999999999996,1,2,4,7,Potential Loyalist
00112586-1,108,8,754.63,3,4,4,11,Champions
0011EAC0-A,110,1,49.0,3,1,1,5,At Risk
00123610-0,587,1,110.6,1,1,2,4,Lost
00125429-2,359,4,187.01,2,4,3,9,Loyal
00126692-5,187,4,241.56,3,4,4,11,Champions
00129B47-9,304,3,259.68,2,3,4,9,Loyal
0012F4A8-2,716,1,49.0,1,1,1,3,Lost
00133F1F-D,316,2,98.0,2,2,2,6,At Risk
00136F00-B,43,2,170.85,4,2,3,9,Loyal
0013A285-B,184,2,207.65,3,2,3,8,Potential Loyalist
0013B13A-2,255,5,344.81,2,4,4,10,Loyal
0014513E-A,463,1,46.55,1,1,1,3,Lost
00146314-D,606,1,36.75,1,1,1,3,Lost
00147D7E-2,479,1,49.0,1,1,1,3,Lost
00149844-1,133,4,273.65,3,4,4,11,Champions
00152CF8-8,236,1,107.78,2,1,2,5,At Risk
00152E13-2,234,1,51.41,2,1,1,4,Lost
00154EA2-1,82,2,287.81,4,2,4,10,Loyal
00155998-2,316,2,83.3,2,2,2,6,At Risk
001565E4-7,380,1,44.1,2,1,1,4,Lost
00159395-A,272,1,39.2,2,1,1,4,Lost
0015D52D-4,401,1,49.0,2,1,1,4,Lost
0015EB18-5,186,3,242.68,3,3,4,10,Loyal
00163C6B-F,216,8,592.26,3,4,4,11,Champions
0016495A-C,164,4,238.06,3,4,4,11,Champions
001677EA-D,211,2,107.32,3,2,2,7,Potential Loyalist
00168858-4,8,5,378.37,4,4,4,12,Champions
0016CDC3-2,288,3,122.5,2,3,2,7,Potential Loyalist
0016DA91-D,185,2,98.0,3,2,2,7,Potential Loyalist
0016ECDF-B,106,2,207.74,3,2,3,8,Potential Loyalist
001728B3-7,220,4,468.66999999999996,3,4,4,11,Champions
00174F61-5,39,2,253.85000000000002,4,2,4,10,Loyal
001794E4-1,424,1,51.47,1,1,1,3,Lost
0018168B-A,420,2,156.74,1,2,3,6,At Risk
00182C79-7,268,2,101.24000000000001,2,2,2,6,At Risk
0018D327-4,690,1,64.81,1,1,2,4,Lost
0019944B-E,108,3,202.22,3,3,3,9,Loyal
0019E2F4-7,456,2,97.81,1,2,2,5,At Risk
001A0507-A,178,2,132.66,3,2,3,8,Potential Loyalist
001A0ECD-5,122,2,185.61,3,2,3,8,Potential Loyalist
001A20BC-5,515,1,49.0,1,1,1,3,Lost
001A64E1-1,17,2,99.68,4,2,2,8,Potential Loyalist
001B06BF-4,132,5,381.40999999999997,3,4,4,11,Champions
001B2CEA-2,248,2,326.81,2,2,4,8,Potential Loyalist
001B7885-4,121,4,291.83000000000004,3,4,4,11,Champions
001BB4AB-F,231,2,177.87,2,2,3,7,Potential Loyalist
001BCD3D-B,289,2,90.65,2,2,2,6,At Risk
001C3EF5-0,532,1,59.58,1,1,2,4,Lost
001C8111-3,376,2,228.7,2,2,4,8,Potential Loyalist
001C99B4-5,7,2,159.1,4,2,3,9,Loyal
001CBA4F-1,71,5,305.08,4,4,4,12,Champions
001DD2A2-2,262,2,187.06,2,2,3,7,Potential Loyalist
001DF23D-B,289,5,251.82999999999998,2,4,4,10,Loyal
001ED2B2-B,276,2,85.75,2,2,2,6,At Risk
001ED694-1,317,1,63.86,2,1,2,5,At Risk
001F6F9A-7,12,3,301.74,4,3,4,11,Champions
001F7A9E-3,278,1,58.14,2,1,2,5,At Risk
001FCA8E-C,280,3,319.36,2,3,4,9,Loyal
002030E8-6,331,2,95.19,2,2,2,6,At Risk
0020A618-1,256,2,169.26999999999998,2,2,3,7,Potential Loyalist
0020FAA9-C,684,2,95.55,1,2,2,5,At Risk
00216741-2,431,1,55.92,1,1,2,4,Lost
00218A07-7,344,1,46.55,2,1,1,4,Lost
0021A166-3,77,3,314.45,4,3,4,11,Champions
0021BD20-1,184,3,137.2,3,3,3,9,Loyal
0021C55D-7,428,1,46.55,1,1,1,3,Lost
00230C65-6,428,4,259.74,1,4,4,9,Loyal
00233472-9,335,1,41.65,2,1,1,4,Lost
00237E64-9,86,1,49.0,4,1,1,6,At Risk
00245ED4-0,179,1,46.55,3,1,1,5,At Risk
0024643C-E,208,1,39.2,3,1,1,5,At Risk
0024FC07-7,308,2,98.0,2,2,2,6,At Risk
00251F5E-9,580,1,39.2,1,1,1,3,Lost
00258C63-5,263,1,41.65,2,1,1,4,Lost
0025AA62-8,79,3,147.0,4,3,3,10,Loyal
0025C667-5,441,1,49.0,1,1,1,3,Lost
00267371-A,467,3,254.03,1,3,4,8,Potential Loyalist
0026DFF1-5,531,2,167.94,1,2,3,6,At Risk
0027AA15-A,583,1,50.93,1,1,1,3,Lost
0027DA22-9,60,2,124.86,4,2,3,9,Loyal
002803CC-C,121,2,98.0,3,2,2,7,Potential Loyalist
00282C85-B,391,2,177.79,2,2,3,7,Potential Loyalist
0028DE0C-9,164,2,94.56,3,2,2,7,Potential Loyalist
0028FA25-D,579,1,57.78,1,1,2,4,Lost
002904C5-3,620,4,244.93,1,4,4,9,Loyal
0029146C-B,108,1,178.75,3,1,3,7,Potential Loyalist
00297C97-B,366,2,181.03,2,2,3,7,Potential Loyalist
0029B5A9-4,202,4,349.56,3,4,4,11,Champions
0029C086-7,282,5,241.46,2,4,4,10,Loyal
002A2D85-9,141,4,238.76,3,4,4,11,Champions
002B1114-E,152,2,99.92,3,2,2,7,Potential Loyalist
002B3698-2,199,1,62.91,3,1,2,6,At Risk
002BA76C-F,56,3,142.31,4,3,3,10,Loyal
002C2CB5-E,90,1,94.24,4,1,2,7,Potential Loyalist
002C7394-B,4,6,389.99,4,4,4,12,Champions
002CB158-D,67,2,151.51,4,2,3,9,Loyal
002D111D-0,368,1,46.55,2,1,1,4,Lost
002D23C6-A,137,2,102.46000000000001,3,2,2,7,Potential Loyalist
002D6F81-7,587,1,173.1,1,1,3,5,At Risk
002D8290-5,189,1,49.0,3,1,1,5,At Risk
002DEEA6-0,57,2,93.8,4,2,2,8,Potential Loyalist
002DF2AF-7,199,1,72.39,3,1,2,6,At Risk
002DFB3C-5,58,2,156.53,4,2,3,9,Loyal
002E1083-7,595,1,49.0,1,1,1,3,Lost
002E1D10-D,75,2,93.1,4,2,2,8,Potential Loyalist
002E235D-E,35,1,44.1,4,1,1,6,At Risk
002E43A7-E,249,1,46.55,2,1,1,4,Lost
002E8AB9-D,160,2,161.18,3,2,3,8,Potential Loyalist
002ED3A7-D,366,4,220.51999999999998,2,4,3,9,Loyal
002F55E7-2,295,3,438.68,2,3,4,9,Loyal
002FF242-9,80,6,411.73,4,4,4,12,Champions
00300872-5,321,1,49.0,2,1,1,4,Lost
003015B2-4,57,3,198.99,4,3,3,10,Loyal
00303689-D,373,1,49.0,2,1,1,4,Lost
00305C87-5,649,1,183.64,1,1,3,5,At Risk
00309C25-C,690,2,326.74,1,2,4,7,Potential Loyalist
0030BE35-B,198,1,46.55,3,1,1,5,At Risk
0031F45B-4,38,3,132.3,4,3,3,10,Loyal
0032110D-5,686,1,80.55,1,1,2,4,Lost
00322E4E-D,24,1,150.14,4,1,3,8,Potential Loyalist
0032310D-C,651,1,44.1,1,1,1,3,Lost
003252A2-9,685,1,213.22,1,1,3,5,At Risk
0032A0F0-2,468,1,94.75,1,1,2,4,Lost
0032BCAA-F,711,1,129.71,1,1,3,5,At Risk
0032C31D-F,24,2,85.75,4,2,2,8,Potential Loyalist
0032E043-F,248,2,213.7,2,2,3,7,Potential Loyalist
0032E0DA-B,461,3,304.53999999999996,1,3,4,8,Potential Loyalist
0032EF19-3,414,1,41.65,2,1,1,4,Lost
00337F9B-1,318,3,244.49,2,3,4,9,Loyal
0033A6A3-0,178,4,282.63,3,4,4,11,Champions
0033C37C-3,37,3,189.32999999999998,4,3,3,10,Loyal
0033D65C-1,491,2,93.1,1,2,2,5,At Risk
00341D4C-4,224,1,46.55,2,1,1,4,Lost
0034375B-0,624,1,113.26,1,1,2,4,Lost
003449B7-4,205,5,358.05,3,4,4,11,Champions
003488C5-F,52,3,141.4,4,3,3,10,Loyal
0035149B-E,637,1,68.83,1,1,2,4,Lost
00355FC1-C,66,2,95.1,4,2,2,8,Potential Loyalist
0035630C-C,157,1,39.2,3,1,1,5,At Risk
0035BDD3-E,607,1,113.75,1,1,2,4,Lost
003636B9-0,448,1,49.0,1,1,1,3,Lost
00363852-E,603,1,41.65,1,1,1,3,Lost
00368EC8-4,132,3,230.42000000000002,3,3,4,10,Loyal
0036A182-D,449,2,190.28,1,2,3,6,At Risk
00372262-4,272,1,141.84,2,1,3,6,At Risk
003740F0-6,133,2,128.24,3,2,3,8,Potential Loyalist
